name,transcription,meaning,extended meaning,gloss,language
Olútúgbiyèlé,olúwa-tú-gbé-iyè-lé,God is worth relying on.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olútúnjí,olú-tún-jí,Prominence has arisen again.,See: Ọlátúnjí,"[{'olú': ' - prominence, the prominent one'}]",yoruba
Olútọ̀mídé,olú-tọ̀-mí-dé,1. A hero came to me. 2. The lord came to me.,unknown,"[{'olú': ' - hero, prominent one, the lord'}]",yoruba
Olútọ́lá,olú-tó-ọlá,The lord is sufficient for wealth.,unknown,"[{'olú': ' - lord, God, prominence'}]",yoruba
Olúwabámbí,olúwa-bá-mi-bí,God helped me to give birth to this.g,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwabámidélé,olúwa-bá-mi-dé-ilé,God accompanied me home.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwabámigbé,olúwa-bá-mi-gbé,God lives with me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwabámiṣé,olúwa-bá-mi-ṣeé,God helped me do it.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwabánkẹ́,olúwa-bá-n-kẹ́,God cherished this (one) for me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwabítàn,olúwa-bí-ìtàn,A story made by the lord.,This is a modern name modified from Ògúnbítàn.,[{'olúwa': ' - lord'}],yoruba
Olúwaborí,olúwa-borí,God conquered. The leader conquered.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwabùkúnmi,olúwa-bù-kún-mi,1. I am blessed by the lord. 2. The lord added unto me,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwabùkọ́lá,olúwa-bùkún-ọlá,God has added to wealth.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwabùnmi,olúwa-bùn-mi,The lord gave me.,"""The Lord's gift""",[{'olúwa': ' - lord'}],yoruba
Olúwabùsáyọ̀mi,olúwa-bù-sí-ayọ̀-mi,God has added to my joy.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwabùsúyì,olúwa-bù-sí-uyì,The lord has added to my value.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwabùsọ́lámi,olúwa-bù-sí-ọlá-mi,God has added to my wealth.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwabùsáyọ̀,olúwa-bù-sí-ayọ̀,The lord has added to my joy.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadàsáyọ̀mi,olúwa-dà-sí-ayọ̀-mi,God poured more joy into my life.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadábíàrà,olúwa-dá-bí-àrà,God does it it in style.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadábírà,olúwa-dá-bírà,1. God did wonders. 2. The lord has done wonders,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadáhùnsi,olúwa-dáhùn-síi,God answers to it.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadámi,olúwa-dá-mi,The Lord has created me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadámiláre,olúwa-dá-mi-ní-àre,The lord justifies me.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwadáminí,olúwa-dá-mi-ní,God holds my hands.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadámisí,olúwa-dá-mi-sí,God spared me.,[See: Dámisí],[{'olúwa': ' - lord'}],yoruba
Olúwadára,olúwa-dára,HOMOGRAPH 1. The lord is good: Olúwadára. 1. The lord does wonders: Olúwadárà,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadárafúnmi,olúwa-dára-fún-mi,God is good for (to) me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadárasími,olúwa-dára-sí-mi,God is good to me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadáràdémi,olúwa-dá-àrà-dé-mi,God crowns me with wonders.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadáre,olúwa-dá-àre,The lord justifies.,This is given to a child whose birth occasions a vindication of some sort.,[{'olúwa': ' - lord'}],yoruba
Olúwadé,olúwa-dé,The lord is present.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwadéàdúràmiládé,olúwa-dé-àdúrà-mi-ládé,God has crowned my prayers.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadémiládé,olúwa-dé-mi-ní-adé,God has crowned me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadìjími,olúwa-di-ìjí-mi,God has become my refuge.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadípẹ̀,olúwa-dípẹ̀,The lord restores.,The full form of Olúdípẹ̀.,[{'olúwa': ' - lord'}],yoruba
Olúwadíyàfúnmi,olúwa-dí-ìyà-fún-mi,God repaid my suffering.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadoyinsọ́lá,olúwa-da-oyin-sí-ọlá,God has poured sweetness into my joy.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadùnjoyinlọ,olúwa-dùn-ju-oyin-lọ,The lord is sweeter than honey.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwadùnmínínú,olúwa-dùn-mí-ní-inú,The Lord has gladdened my heart.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwadùnsìn,olúwa-dùn-sìn,It is sweet to worship God.,The intended meaning of Olúwadùnsìn will be - It is rewarding to serve God; It is a pleasure to worship God.,[{'olúwa': ' - lord'}],yoruba
Olúwadọlápọ̀,olúwa-da-ọlá-pọ̀,God has mixed joy together.,"User feedback: ""I was given birth to on my parent's wedding day.""","[{'olúwa': ' - lord, God'}]",yoruba
Olúwafayémidábírà,olúwa-fi-ayé-mi-dá-bírà,God made wonders with my life.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafayọ̀sáyémi,olúwa-fi-ayọ̀-sí-ayé-mi,God added joy to my life.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafèyíjìnmí,olúwa-fi-èyí-jìn-mí,Lord entrusted this one to me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafèyíkẹ́mi,olúwa-fi-èyí-kẹ́-mi,God has entrusted me with this (child).,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafèyíshìkẹ́mi,olúwa-fi-èyí-ṣe-ìkẹ́-mi,God used this to care for me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafèyíṣayọ̀,olúwa-fi-èyí-ṣe-ayọ̀,The lord made joy of this (one).,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafèyíṣìkẹ́mi,olúwa-fi-èyí-ṣe-ìkẹ́-mi,God has used this to honour me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafidárà,olúwa-fi-dá-àrà,God used (me/him/her) for wonders.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafidọláfúnmi,olúwa-fi-di-ọlá-fún-mi,God has given me this valuable gift. God has made wonders of what used to be.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafifúnmi,olúwa-fi-fún-mi,The Lord gave unto me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafimídárà,olúwa-fi-mí-dá-àrà,The lord makes wonders with me.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwafimídáràire,olúwa-fi-mí-dá-àrà-ire,God used me to make a wonderful miracle.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafimídáràọlá,olúwa-fi-mí-dárà-ọlá,God used me to display His wealth/affluence.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafiorekànmi,olúwa-fi-oore-kàn-mí,God touched me with goodness.,unknown,"[{'olúwa': ' - Lord, God'}]",yoruba
Olúwafioresí,olúwa-fi-oore-sí,God adds goodness to.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafirekúnmi,olúwa-fi-ire-kún-mi,God has added goodness to me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafirepèmí,olúwa-fi-ire-pèmí,God called me to/into goodness.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafirewámirí,olúwa-fi-ire-wá-mi-rí,The lord sought me out and found me with goodness.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafisáyọ̀,olúwa-fi-sí-ayọ̀,God added to happiness/joy.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwafitamilọ́rẹ,olúwa-fi-ta-mí-lọ́rẹ,God use this as a gift to me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafìfẹ́hàn,olúwa-fi-ìfẹ́-hàn,God showed love.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafìfẹ́hànsími,olúwa-fi-ìfẹ́-hàn-sí-mi,God showed me love.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafìfẹ́jìmí,olúwa-fi-ìfẹ́-jìn-mí,God entrusted me with love.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafìfẹ́jìnmí,olúwa-fi-ìfẹ́-jìn-mí,God has entrusted me with love.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafìkẹ́yìnmi,olúwa-fi-ìkẹ́-yìn-mí,God praised me with adornment.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwaforíjìmí,olúwa-fi-orí-jìn-mí,God forgives/forgave me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafúnbí,olúwa-fún-mi-bí,The lord gave me to birth.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafúnmbí,olúwa-fún-mi-bí,God gave me for a child.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafúnmikẹ́,olúwa-fún-mi-kẹ́,"The lord gave me this to keep, nurture and cherish.",unknown,[{'olúwa': ' - lord'}],yoruba
Olúwafúnmiláyọ̀,olúwa-fún-mi-ní-ayọ̀,God give(s) me joy.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwafúnminíyì,olúwa-fún-mi-ní-iyì,The Lord has given me worth.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwafúnmitọ́,olúwa-fún-mi-tọ́,God gave me to care for.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafúnsọ́,olúwa-fún-n-ṣọ́,The lord gave me to watch over.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafúntọ́,oluwa-fún-n-tọ́,"One given by the lord to raise, look after.",unknown,[{'olúwa': ' - lord'}],yoruba
Olúwafẹ́rànmi,olúwa-fẹ́ràn-mi,God loves me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafọlábòmí,olúwa-fi-ọlá-bò-mí,God covered me with wealth.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwafọláwẹ̀mí,olúwa-fi-ọlá-wẹ̀-mí,"God bathes me in success, wealth.",unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwafọresími,olúwa-fọ-ire-sí-mi,God pronounced goodness to me.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwagbatèmirò,olúwa-gbà-ti-èmi-rò,God has thought of me.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwagbèmí,olúwa-gbè-mí,The lord favours me.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwagbèmíníjà,olúwa-gbè-mí-ní-ìjà,God came to my defense.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwagbémiga,olúwa-gbé-mi-ga,God lifted me high.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwagbéminíyì,olúwa-gbé-mi-ní-iyì,Our lord has lifted me to prominence/worthiness.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwagbémiró,oluwa-gbé-mi-ró,God upholds me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwagbóhùnmi,olúwa-gbọ́-ohùn-mi,The Lord heard my voice.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwagbuyì,olúwa-gba-uyì,The lord receives honour.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwagbẹ́bẹ̀,olúwa-gbọ́-ẹ̀bẹ̀,God harkened to (our) supplications.,unknown,"[{'olúwa': ' - lord, God, master'}]",yoruba
Olúwagbẹ́bẹ̀mi,olúwa-gbọ́-ẹ̀bẹ̀-mi,The lord heard my plea.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwagbọ́lámidé,olúwa-gbé-ọlá-mi-dé,God has brought my wealth to me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwagbọ́tèmi,olúwa-gbọ́-ti-èmi,God has heard my prayers.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwajàre,olúwa-jàre,God is justified.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwajùmọ̀kẹ́,olúwa-jùmọ̀-kẹ́,Altogether cherished by God.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwajùwọ́n,olúwa-jù-wọ́n,The lord surpasses them.,See also: Ọlájùwọ́n.,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwajùwọ́nlọ,olúwa-jù-wọ́n-lọ,God is greater than them.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwajẹ̀dálọ,olúwa-ju-ẹ̀dá-lọ,God supersedes human being,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwajọba,olúwa-jẹ-ọba,God reigns.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwajọmílójú,olúwa-jọ-mí-lójú,The lord amazed/surprised me.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwakáyọ̀dé,olúwa-kó-ayọ̀-dé,The lord has brought joy.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwakìńbatì,olúwa-kì-ń-bàá-tì,God never fails.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwakíyèsími,olúwa-kíyèsí-mi,God notices me.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwakòṣeuntì,olúwa-kò-ṣe-oun-tì,What God cannot do does not exist.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwakóredé,olúwa-kó-ire-dé,The lord has brought goodness.,unknown,"[{'olúwa': ' - lord, prominent one'}]",yoruba
Olúwakóretèmídé,olúwa-kó-ire-ti-èmi-dé,God has brought my portion of goodness.,unknown,[{'olúwa': ' - God'}],yoruba
Olúwakẹ́mi,olúwa-kẹ́-mi,The lord pets/takes care of me.,unknown,[{'olúwa': ' - the lord'}],yoruba
Olúwakẹ́misọ́lá,olúwa-kẹ́-mi-sí-ọlá,God's care has brought me wealth/glory. God has pampered me with wealth/glory.,unknown,[{'olúwa': ' - God'}],yoruba
Olúwakẹ́wa,olúwa-kẹ́-wa,The Lord pampered us.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwalaní,olúwa-ni-a-ní,The lord is what we have.,See also: Olúwalanní,[{'olúwa': ' - lord'}],yoruba
Olúwalanní,olúwa-ni-a-ń-ní,The lord is whom we continue to have.,See also: Olúwalaní,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwalarótì,olúwa-ni-a ró-tì,God is my support system.,See also: Olúmorótì,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwalànà,olúwa-là-ọ̀nà,The lord opens the path.,unknown,"[{'olúwa': ' - lord, prominent one'}]",yoruba
Olúwalékè,olúwa-lékè,God has exalted me.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwalógbọ́n,olúwa-ni-ó-gbọ́n,The lord is the wise one.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwalólọlá,olúwa-ni-ó-ní-ọlá,Wealth/success belongs only to God.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwalólọpẹ́,olúwa-ló-ni-ọpẹ́,Thanksgiving belongs to God.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwalónìyìn,olúwa-ni-ó-ni-ìyìn,Praise belongs to God.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwalósèyí,olúwa-ni-ó-se-èyí,God is the one who did this.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwalóshèyí,olúwa-ni-ó-ṣe-èyí,God is the one that created this.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwalóṣèyífúnmikìíṣènìyàn,Olúwa-ni-ó-ṣe-èyí-fún-mi-kìíṣe-ènìyàn,"It is the Lord that has done this for me, not any man.",unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwamáyọ̀dé,olúwa-mú-ayọ̀-dé,God has brought joy.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwamáyọ̀kún,olúwa-mú-ayọ̀-kún,The Lord made my joy full.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwamáyọ̀mikún,olúwa-mú-ayọ̀-mi-kún,God has made my joy whole.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwamáyọ̀wá,olúwa-mú-ayọ̀-wá,The lord brought joy.,unknown,"[{'oluwa': ' - lord, God'}]",yoruba
Olúwamitáyọ̀,olúwa-mi-tó-ayọ̀,My Lord is enough joy.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwamogbièlé,olúwa-mo-gbé-yiè-lé,In God I trust,See also: Fáduyìlé,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwamúyìwá,olúwa-mú-èyí-wá,God brought this to us.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwaḿbẹ,olúwa-ń-bẹ,The lord exists.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwanbẹ,olúwa-n-bẹ,The lord remains/exists.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwanimodúrótì,olúwa-ni-mo-dúró-tì,I depend on God. I'm on God's side.,unknown,[{'olúwa': ' - God'}],yoruba
Olúwanimorí,olúwa-ni-mo-rí,God is whom I've found.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwanífiṣe,olúwa-ní-fi-ṣe,God has a need for him/her/it.,"""[Jesus] sent two of his disciples, Saying, Go ye into the village . . . ye shall find a colt tied, whereon yet never man sat: loose him, and bring him hither. And if any man ask you, Why do ye loose him? thus shall ye say unto him, Because the Lord hath need of him. . . . And as they were loosing the colt, the owners thereof said unto them, Why loose ye the colt? And they said, The Lord hath need of him."" - Luke 19:29-34","[{'olúwa': ' - lord, God'}]",yoruba
Olúwaníyì,olúwa-ní-iyì,The lord have value.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwaníṣọlá,olúwa-ní-ṣe-ọlá,The lord it is that makes wealth.,Bí ó ṣe wu olúwa ní n ṣọlá.,[{'olúwa': ' - lord'}],yoruba
Olúwanífẹ́mi,olúwa-ní-ìfẹ́-mi,The lord loves me.,unknown,"[{'olúwa': ' - Lord, God'}]",yoruba
Olúwańbọ̀,olúwa-ń-bọ̀,God is coming.,There's a strong influence from “Maranatha” (O lord come) in Aramaic.,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwapèmí,olúwa-pè-mí,God calls me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwapèmísiré,olúwa-pè-mí-ṣe-eré,God called me for good.,A Christian name given with faith after many years of waiting on the Lord.,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwapèmísíyè,olúwa-pè-mí-sí-ìyè,God called me to life.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwapọ́nlé,olúwa-pọn-mi-lé,God honoured me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwapọ́nmilé,olúwa-pọ́n-mi-lé,The Lord honors me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwarántí,olúwa-rántí,God remembers.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwarímikẹ́,olúwa-rí-mi-kẹ́,God has found me worthy to pamper.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwarótìmí,olúwa-dúró-tì-mí,The lord stays with me.,unknown,[{'olúwa': ' - the lord'}],yoruba
Olúwarẹ̀mí,olúwa-rẹ̀-mí,God has ended my weeping.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwarẹ̀mílẹ́kún,olúwa-rẹ̀-mí-ní-ẹkún,God consoled me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwarọ́kànmi,olúwa-rí-ọkàn-mi,God saw my heart.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwarọ́látùnmí,olúwa-rọ́-ọlá-tù-mí,God brought wealth/success to comfort me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwasàánú,olúwa-ṣe-àánú,Lord have mercy.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwasèyífúnmi,olúwa-sè-èyí-fún-mi,The lord did this one for me.,unknown,[{'olúwa': ' - the lord'}],yoruba
Olúwasèyítán,olúwa-se-èyí-tán,The lord did this all.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwashìndárà,olúwa-ṣì-ń-dárà,God still performs wonders.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwashínà,olúwa-shí-ọ̀nà,The Lord has paved a way.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwashoorefúnmi,olúwa-ṣe-oore-fún-mi,God has done good things for me.,"Also: Olúwaṣoorefúnmi, Olúwaṣorefúnmi","[{'olúwa': ' - lord, God'}]",yoruba
Olúwashẹ́gun,olúwa-ṣẹ́-ogun,God conquered.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwasúji,olúwa-sú-ìji,The lord cast his shadow.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwasúnmiládé,olúwa-sún-mi-ní-adé,The lord adjusted my crown.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwasúnmisíwájú,olúwa-sún-mi-sí-iwájú,God moved me forward.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwasẹ̀gànmidògo,olúwa-sọ-ẹ̀gàn-mi-di-ògo,The Lord has turned my shame into glory.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatamíyọ,olúwa-ta-mí-yọ,God singled me out.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatanáayọ̀,olúwa-tan-iná-ayọ̀,God has put on a light of joy.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwataramisore,olúwa-ti-ara-mi-se-oore,The lord used my body to do good.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwatánmilẹ́dùn,olúwa-tán-mi-ní-ẹ̀dùn,The Lord has fulfilled my desire,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatáyọ̀,olúwa-tó-ayọ̀,God is worthy of our joy.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatèmilọba,olúwa-ti-èmi-ni-ọba,My god is the king.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatitómi,olúwa-ti-tó-mi,I'm content with the lord.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwatìmílẹ́yìn,olúwa-tì-mí-ní-ẹ́yìn,The lord support me.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwatiṣeouńlá,olúwa-ti-ṣe-oun-ńlá,God has done something big.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatoromọ́,oluwa-toro-mọ́,God is reliable.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatóbi,olúwa-tóbi,"The lord is great, mighty.",unknown,[{'olúwa': ' - the lord'}],yoruba
Olúwatóbẹ̀rù,olúwa-tó-bẹ̀rù,God is worthy to be revered.,unknown,"[{'olúwa': ' - lord, prominent one'}]",yoruba
Olúwatódìmú,olúwa-tó-dìmú,God is worth holding onto. God is worthy of being held onto.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatófẹ́,olúwa-tó-fẹ́,God is worthy of love.,unknown,"[{'olúwa': ' - lord, God, prominent one'}]",yoruba
Olúwatómi,olúwa-tó-mi,The lord is sufficient for me.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwatómiísìn,olúwa-tó-mi-(lát)i-sìn,God is enough for me to worship.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatómiládé,olúwa-tó-mi-ní-adé,Having God is enough coronation.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatómilọ́lá,olúwa-tó-mi-ní-ọlá,The lord is sufficient for my wealth.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwatóminíyì,olúwa-tó-mi-ní-iyì,God is enough for me as value.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatómiwò,olúwa-to-mi-wò,God is enough for me to look at.,This name was given to a girl born after four boys.,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatómiṣọ́,olúwa-tó-mi-ṣọ́,God is enough to watch over me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatónilọ́ba,olúwa-tó-ẹni-ní-ọba,God is good to have as king.,See also: Olúwatóbilọ́ba,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatówojú,olúwa-tó-wo-ojú,God is enough to look up to.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatóyin,olúwa-tó-yìn,The lord is worthy of praise.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwatóyọ̀sí,olúwa-tó-yọ̀-sí,God is worthy/sufficient to rejoice unto.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwatùmínínú,olúwa-tù-mí-ní-inú,God has consoled/comforted me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatúgbiyèlé,olúwa-tú-gbé-iyè-lé,God is worth relying on.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatúnmishe,olúwa-tún-mi-ṣe,God repaired me.,unknown,"[{'olúwa': ' - Lord, God'}]",yoruba
Olúwatúremijáde,olúwa-tú-ire-mi-jáde,The lord has brought out my goodness.,"This is a modern Christian name, as can be observed from the meaning.",[{'olúwa': ' - lord'}],yoruba
Olúwatúyì,olúwa-tó-iyì,The lord is worth plenty. [verification needed],unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatẹ̀nà,olúwa-tẹ̀-ọ̀nà,The lord established a path.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatẹ́níọlá,olúwa-tẹ́-ẹní-ọlá,God spreads the mat of wealth/success.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwatẹ́tísími,olúwa-tẹ́-etí-sí-mi,The lord listens to me.,unknown,[{'olúwa': ' - lord'}],yoruba
Olúwatọ́baójuọbalọ,olúwa-tó-ọba-ó-ju-ọba-lọ,"""God is the King of kings"" or ""God is KING and greater than kings.""",This is a modern Christian name.,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwawálémi,olúwa-wá-(sí)-ilé-mi,The lord has come to my abode.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwayànmífẹ́,olúwa-yàn-mí-fẹ́,The Lord has singled me out to love me.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwayárasími,olúwa-yára-sí-mi,God was quick to address my issue.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwayíópèsè,olúwa-yíó-pèsè,God will provide.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
Olúwayẹmí,olúwa-yẹ-mí,I am deserving of God.,unknown,"[{'olúwa': ' - lord, God'}]",yoruba
