name,transcription,meaning,gender,language
Kutanya,/Kụta-anya/,To be in resignation,m,igbo
Maduabuchi,/Mmadụ-abụghị-chi/,Man is no,m,igbo
Madiebo,/Mmadi-ebo/,unknown,m,igbo
Kwerenachi,/Kwere-na-chi/,Believe in God,m/f,igbo
Kosolu,/Ka-ọsọlụ/,unknown,m/f,igbo
Kosarachi,/Kọsara-chi/,Tell it to God,m/f,igbo
Kene,/Kene/,Thank,m/f,igbo
Kasiemobi,/Kasịe-m-obi/,Console (my heart),m/f,igbo
Kechi,/Ke-chi/,unknown,f,igbo
Kenechukwu,/Kene-chukwu/,Thank God.,m,igbo
Kasarachi,/Kasara-chi/,Tell it to God.,m/f,igbo
Kasie,/Kasịe/,Console,m/f,igbo
Kaosoluchukwu,/Ka-ọsọlụ-chukwu/,As it pleases God,m/f,igbo
Kanu,/Kanụ/,unknown,m,igbo
Kaoguluonye,/Ka-ọgụlụ-onye/,Whatever an individual craves.,m/f,igbo
Kaosolu,/Ka-ọsọlụ/,As it pleases,m/f,igbo
Kambili,/Ka-m-bili/,May I live.,m/f,igbo
Kamsiyochukwu,/Kam-si-yọ-chukwu/,Exactly as I asked God,m/f,igbo
Kanayochukwu,/Ka-ana-ayọ-chukwu/,Lets keep offering supplications to God,m,igbo
Kanayo,/Ka-ana-ayọ/,Lets keep offering supplications,m,igbo
Kamalu,/Kamalụ/,The god of thunder.,m,igbo
Kalu,/Kalụ/,unknown,m,igbo
Lotachukwu,/Lota-chukwu/,Remember God.,m/f,igbo
Juachi,/Jua-chi/,Ask God,m/f,igbo
Lebechi,/Lebe-chi/,unknown,m/f,igbo
Lotanna,/Lota-nna/,Remember the father,m,igbo
Kamanu,/Kamanụ/,The god of thunder,m,igbo
Kainene,/Ka-anyị-na-ene/,Let us watch.,m/f,igbo
Jidenna,/Jide-nna/,Hold on to the father,m,igbo
Jiroh,/Ji-ro/,Ji-ro-na-ọba,m,igbo
Jideofor,/Jide-ọfọ/,Hold the,m,igbo
Jibuike,/Ji-bụ-ike/,Yam is might.,m,igbo
Jideobi,/Jide-obi/,Hold (firmly) the,m,igbo
Jachimma,/Jaa-chi-mma/,﻿Hail God,m/f,igbo
Atuanya,/Atụ-anya/,Something unexpected,m/f,igbo
Atamuo,/Atalụ-mmụọ/,Do we blame the spirit being?,m,igbo
Atuegwu,/Atụ-egwu/,To be fearless; One who is fearless.,m,igbo
Atile,-,unknown,-,igbo
Ayika,/Ayịka/,"If we band together, we become greater",m,igbo
Awugosi,-,unknown,-,igbo
Asomugha,/Asọ-m-ụgha/,I detest deceit,m,igbo
Azikiwe,-,unknown,-,igbo
Asiegbunam,/Asị-egbune-m/,May hostility not kill me (or cause me to cower),m,igbo
Asika,/Asi-ka/,Hostility abound.,m,igbo
Ashibuogwu,/Ashi-bụ-ọgwụ/,Hostility is voodoo.,m,igbo
Arumma,/Arụ-mma/,Beautiful body,f,igbo
Asiegbu,/Asị-egbu/,One who cant be killed by or who refuses to be cowered by (other's) hostility.,m,igbo
Asoluka,-,unknown,-,igbo
Aronu,-,unknown,-,igbo
Arukaakwa,/Arụ-ka-akwa/,Body/skin better than clothes,f,igbo
Arinzechukwu,/Arinze-chukwu/,unknown,Thanks to God,igbo
Aralu,/Aralụ/,We can only have a discussion when you attain our heights,m,igbo
Arachie,/Arachie/,To have chosen a portion ahead of another. To supplant,m,igbo
Arinze,/Arịnze/,Thanks to,m,igbo
Anyaoku,/Anya-ọkụ/,Envy,m,igbo
Anyansi,-,unknown,-,igbo
Anyalebechi,/Anya-lebe-chi/,Let all eyes be on our,m,igbo
Anyanwu,/Anya-anwụ/,The Sun,m/f,igbo
Anyakora,-,unknown,-,igbo
Anyaegbu,/Anya-egbu/,One who can't die by or be cowered by malicious gaze.,m,igbo
Anyadike,/Anya-dike/,Eyes of the warrior.,m,igbo
Anwuna,/Anwuna/,Never die,m/f,igbo
Anyaeze,/Anya-eze/,The eyes of the king,m,igbo
Anyaegbunam,/Anya-egbuna-m/,May (malevolent) gaze not bring about my death or cause me to cower,m,igbo
Anunwa,-,unknown,-,igbo
Anuri,/Aṅụri/,Joy,f,igbo
Anumba,-,unknown,-,igbo
Anueyiagu,/Anu-eyi-agu/,There is no beast like the leopard,m,igbo
Anuforo,-,unknown,-,igbo
Anosike,/A-nọ-sie-ike/,To stay confidently or boldly,m,igbo
Anozie,/Anọzie/,To find one's footing or become better positioned,m,igbo
Anulika,/Aṅulị-ka/,Joy is far more important.,f,igbo
Anuli,/Aṅulị/,Joy,f,igbo
Anua,-,unknown,-,igbo
Anoliefo,/Anọlị-efo/,To recall periodically,m,igbo
Anisiuba,-,unknown,-,igbo
Animalu,/Anị-malụ/,That,m,igbo
Anikwenwa,/Anị-kwe-nwa/,May,m,igbo
Aniesodo,-,unknown,-,igbo
Aniukwu,/Ani-ukwu/,The great,m,igbo
Anochili,/A-nọ-chili/,To supplant; Someone has been supplanted,m,igbo
Anizoba,/Anị-zọba/,May,m/f,igbo
Anieke,-,unknown,-,igbo
Anielo,/Anị-elo/,counseled,m,igbo
Aniedube,/Ani-e-dube/,has taken the lead,m,igbo
Aniegboka,/Anị-egboka/,made timely provision,m,igbo
Anienye,/Anị-enye/,has given,m/f,igbo
Aniebonam,/Anị-ebona-m/,May,m,igbo
Aniekwena,/Anị-ekwena/,May,m,igbo
Aniekwe,/Anị-ekwe/,has agreed/permited/approved,m,igbo
Anichebe,/Anị-chebe/,May,m,igbo
Aniche,/Aniche/,deity protects.,m,igbo
Aniebo,/Anị-ebo/,unknown,m,igbo
Anidebe,/Anị-debe/,unknown,May ,igbo
Aniagor,/Anị-agọ/,unknown,m,igbo
Ani,/Anị/,The earth goddess,m,igbo
Aniagorom,/Anị-agọrọ-m/,unknown,deity defends me or absolves me of wrongdoing in a case,igbo
Aniama,-,unknown,-,igbo
Anenechukwu,/Ana-ene-chukwu/,We focus on,m,igbo
Aneke,-,unknown,-,igbo
Anene,/Ana-ene/,unknown,m,igbo
Anaso,/Ana-so/,is with me.,m,igbo
Anara,/Ana-ra/,May,m,igbo
Anazodo,-,unknown,-,igbo
Anayo,/Anayọ/,To offer supplications,m,igbo
Anatasiaku,/Anatasia-akụ/,We have received all of our wealth.,m,igbo
Analokwu,-,unknown,-,igbo
Anakwue,/Ana-kwue/,Let,m,igbo
Anakweze,/Ana-kwe-eze/,May,m,igbo
Anajemba,-,unknown,-,igbo
Anamulu,/Ana-mụlụ/,birthed,m,igbo
Anagor,/Ana-agọ/,unknown,m,igbo
Anajama,/Ana-ja-ama/,will know.,m,igbo
Anagorom,/Ana-agọrọ-m/,unknown, defends me or absolves me of wrongdoing in a case,igbo
Anagbogu,/Ana-gboo-ọgụ/,May,m,igbo
Anagbado,-,unknown,-,igbo
Anaekeokwu,/Ana-ekee-okwu/,has settled a dispute.,m,igbo
Anaenye,/Ana-enye/,deity has given,m/f,igbo
Anaekwe,/Ana-ekwe/,has agreed/permitted/approved,m,igbo
Anaebonam,/Ana-ebona-m/,May,m,igbo
Anaedu,/Ana-edu/,leads,m,igbo
Anadumaka,/Ana-dum-aka/,be my helping hand,m,igbo
Anadimma,/Ana-dị-mma/,deity is good,m,igbo
Anadi,/Ana-dị/,deity exists/is,m,igbo
Anadebe,/Ana-debe/,unknown,May ,igbo
Ana,/Ana/,The earth goddess,m,igbo
Amuzie,/Amuzie/,To birth properly,m,igbo
Amulumma,/Amụlụ-mma/,We gave birth to beauty,f,igbo
Amulunamma,/Amụlụ-na-mma/,Born under good circumstance,m,igbo
Anaduka,/Ana-adụka/,deity is so good,m/f,igbo
Amauche,/Àmà-úchè/,unknown,m,igbo
Ezuruka,/Ezuru-ka/,(A group) who match a situation and exceed expectation,m,igbo
Ezumezu,/Ézù-m-èzù/,I am complete.,m,igbo
Ezugo,/Ezugo/,unknown,m,igbo
Eziuzo,/Ezi-ụzọ/,The true/good path.,m,igbo
Amobi,/Ama-obi/,Does one know the (human) heart?,m,igbo
Ezurike,/Ezuru-ike/,To take a rest,m,igbo
Ezuma,/Ezuma/,,m,igbo
Ezinwa,/Ezi-nwa/,True Child,m/f,igbo
Ezisi,-,unknown,-,igbo
Ezimma,/Ezi-mma/,True beauty,f,igbo
Ezinwanne,/Ezi-nwanne/,True sibling.,m,igbo
Ezikuno,/Ezi-ka-unọ/,The road far better than home,m,igbo
Ezike,/Ezi-ike/,True Strength,m,igbo
Ezienyi,/Ézí-ényì/,True friend,m/f,igbo
Ezinne,/Ezi-nne/,True Mother. Exemplary Mother.,f,igbo
Ezieke,/Ezi-eke/,True or Good creation.,m,igbo
Eziegbene,/Ezi-egbene/,The path of the rooster,m,igbo
Amara,/Amara/,Grace,f,igbo
Amarachukwu,/Amara-chukwu/,Grace of God.,f,igbo
Eziechina,/Ezi-echina/,May my paths (to wealth) never cease or become unprofitable,m,igbo
Eziagulu,/Ezi-Ágụ́lụ̀/,unknown,The road to Agulu,igbo
Eziafa,/Ézí-áfà/,Good name,m,igbo
Amarachi,/Amara-chi/,Grace of God,f,igbo
Amanze,/Ama-nze/,The,m,igbo
Amaku,/Ama-akụ/,The,m,igbo
Amanke,-,unknown,-,igbo
Amaka,/Amaka/,So beautiful,f,igbo
Amaefule,/Ama-efule/,May the,m,igbo
Amaefuna,/Ama-efuna/,unknown,May the ,igbo
Amanie,-,unknown,-,igbo
Amah,/Ama/,A communal piece of land/space for gathering,m,igbo
Amaechina,/Ama-echina/,May the,m,igbo
Amaechi,/Ama-echi/,Does one know what tomorrow may bring?,m,igbo
Amadioha,/Amadi-ọha/,The god of lightning and Thunder,m,igbo
Amadi,/Amadi/,A man,m,igbo
Amachiri,/Ama-chiri/,The,m,igbo
Alor,/Alọ/,Hunting/fighting spear,A god/deity ,igbo
Alochebe,/Alọ-chebe/,May,m,igbo
Alobele,-,unknown,-,igbo
Ali,/Alị/,The earth goddess.,m,igbo
Alaefuna,/Ala-efuna/,May one's land not be lost.,m,igbo
Alajemba,-,unknown,-,igbo
Alamoke,/Ala-ama-oke/,unknown,m,igbo
Alaribe,-,unknown,-,igbo
Alaezi,/Ala-ezi/,has revealed (itself),m,igbo
Ala,/Àlà/,The earth goddess,m,igbo
Alaedu,/Ala-edu/,leads the way,m,igbo
Ezi,/Ézí/,Road, True ,igbo
Ezeonwuria,/Eze-Ọṅụrịa/,unknown,m,igbo
Ezeonuegbu,/Eze-ọnụ-egbu/,The king who would not be killed/cowered by slanderous lips,m,igbo
Ezeoma,/Ézè-ọ́má/,The good king,m,igbo
Ezeudo,/Eze-udo/,The king of peace,m,igbo
Ezeonu,-,unknown,-,igbo
Ezeokeke,/Ézè-Òkeké/,unknown,Eze,igbo
Ezeonwumelu,/Eze-Ọnwụ-melụ/,unknown,m,igbo
Ezeoke,/Ézè-òkè/,The king of creation,m,igbo
Ezeokafor,/Ézè-Òkafọ̀/,unknown,m,igbo
Ezeoka,/Ézè-ọ́ká/,The king who is above all,m,igbo
Ezeohakem,/Ézè-Ọhakem/,unknown,m,igbo
Ezeobi,/Eze-Obi/,The king/priest of the,m,igbo
Ezenwankwo,/Eze-Nwankwọ/,unknown,m,igbo
Ezenwajiaku,/Eze-nwa-ji-akụ/,unknown,The child king who holds wealth ,igbo
Ezenwugo,/Eze-nwa-ugo/,unknown,m,igbo
Ezenwa,/Eze-nwa/,The child king,m,igbo
Ezenagu,/Eze-na-agụ/,One who desires to be king,m,igbo
Ezenabor,/Eze-na-abọ/,Two kings.,m,igbo
Ezekwugo,/Eze-kwe-Ugo/,,m,igbo
Ezekwem,/Eze-kwe-m/,May the kingship/priesthood suit me,m,igbo
Ezekwesili,/Eze-kwesịlị/,One deserving of the kingship or Fit for the throne,m,igbo
Ezekibe,/Eze-ka-ibe/,The king/priest greater than his peers.,m,igbo
Ezejiofor,/Eze-jị-ọfọ/,The king/priest holds the,m,igbo
Ezeilo,/Ezeilo/,unknown, ,igbo
Ezeimo,/Eze-imo/,The priest of,m,igbo
Akwaugo,/Akwa-ugo/,unknown,An eagle's egg,igbo
Ezejiaku,/Eze-ji-akụ/,The King holds wealth,m,igbo
Akwaobi,/Akwa-obi/,unknown,Grief,igbo
Akwaeke,/Akwa-eke/,The python's egg,f,igbo
Akuozo,/Akụ-ọzọ/,Wealth of the,m,igbo
Akunyili,/Akụ-nyịlị/,Wealth subdued,m,igbo
Akuezue,/Akụ-ezue/,Wealth has become complete,m/f,igbo
Akunna,/Akụ-Nna/,The Father's wealth,f,igbo
Akuluouno,/Akụ-luo-ụnọ/,Let the wealth reach home,m,igbo
Akugo,/Àkụ̀-ùgò/,Wealth that gives honour,f,igbo
Akunne,/Akụ-Nne/,The Mother's wealth,f,igbo
Akuluo,/Akụ-luo/,unknown,m,igbo
Akujieze,/Akụ-jị-eze/,Wealth makes the king/noble,m,igbo
Akpumezue,/Akpụ-m-ezue/,My cassava is complete.,m,igbo
Akuabata,/Àkụ̀-ábà-tà/,Wealth has come,m/f,igbo
Akubike,/Akụ-bụ-ike/,Wealth is strength,m,igbo
Aku,/Àkụ̀/,Wealth,m/f,igbo
Akpuoye,/Akpụ-oye/,Cassava that was harvested on Oye day,m/f,igbo
Akubuilo,/Akụ-bụ-ilo/,Wealth invites enmity/resentment,m,igbo
Akpatuligwe,/Akpatụlụ-igwe/,To touch the sky.,m,igbo
Akuanyionwu,/Àkụ̀-ányị̀rọ́-ọ́nwụ́/,Wealth can't subdue death,m,igbo
Akowundu,/Akọ-wụ-ndụ/,unknown,m,igbo
Akorah,/Akọ-ọra/,The wisdom of the people,m,igbo
Akondu,/Akọ-ndụ/,Life's wisdom,m,igbo
Akonam,/Akọna-m/,unknown,f,igbo
Akobundu,/Akọ-bụ-ndụ/,Wisdom gives life.,m,igbo
Ako,/Àkọ́/,Wisdom,m,igbo
Akata,-,unknown,-,igbo
Ezeikpe,/Eze-ikpe/,Judge,m,igbo
Ezeh,/Eze/,unknown,-,igbo
Ezegbulem,/Eze-egbule-m/,May the kingship not destroy me,m,igbo
Ezedinugwu,/Eze-dị-na-ugwu/,Kingship/the throne is set on a hill,m,igbo
Ezedimbu,/Eze-dị-mbụ/,There’s always been a King,m,igbo
Ezechukwu,/Eze-chukwu/,The priest of,m,igbo
Ezediokpu,/Eze-dị-ọkpụ/,A tough or formidable King,m,igbo
Ezeigwe,/Eze-igwe/,The king of the heavens,m,igbo
Ezeife,/Eze-ife/,unknown,A king or priest of light,igbo
Ezebube,/Eze-ebube/,The king of glory,m,igbo
Ezebo,-,unknown,-,igbo
Ezeasor,/Eze-asọ/,unknown,m,igbo
Ezeasoanya,/Eze-asọ-anya/,A king is irreverent/impartial,m,igbo
Ezeama,/Eze-ama/,unknown,The king of the,igbo
Ezebuilo,/Eze-bụ-ilo/,1. A king is an enemy,m,igbo
Ezeanochie,/Eze-anọchie/,A king has taken the place of another,m,igbo
Ezeani,/Eze-anị/,unknown,Priest of ,igbo
Ezeagu,/Eze-agu/,The king leopard,m,igbo
Ezeakunne,/Eze-akụ-nne/,unknown,m,igbo
Ezeajughi,/Eze-ajughi/,The kingship has not rejected,m,igbo
Ezeala,/Eze-ala/,The priest of,m,igbo
Eze,/Eze/,King,m,igbo
Ezeagwu,/Eze-agwụ/,Priest of,m,igbo
Eyiuche,/Eyi-uche/,Something unexpected,m/f,igbo
Ezeakabudu,/Eze-Akabudu/,unknown,m,igbo
Eyisi,-,unknown,-,igbo
Izunne,/Izu-nne/,The mother's plot,m,igbo
Akamnonu,/Aka-m-na-ọnụ/,unknown,I prevail with words,igbo
Akaolisa,/Aka-olisa/,The Hand of,m,igbo
Eto,/Etoo/,To uplift,m,igbo
Akamere,/Aka-mere/,A thing wrought by (my) hands.,m,igbo
Izuorah,/Izu-ọra/,A plot/agreement of the people,m,igbo
Akaogu,/Aka-ọgụ/,Hand of Battle,m,igbo
Akame,/Aka-mee/,Let (my) hands make it work,m,igbo
Akachukwu,/Aka-chukwu/,God's hands,m,igbo
Ajuluchi,/Ajụlụ-chi/,unknown,m,igbo
Ajulu,/Ajụlụ/,Did one inquire,m,igbo
Ajuzieogu,/Ajụzie-ọgụ/,We now reject war,m,igbo
Ajuluchukwu,/Ajụlụ-chukwu/,Did one inquire of or interrogate God?,m,igbo
Akamelu,/Aka-melụ/,A thing wrought by (my) hands,m,igbo
Akabogu,/Aka-bụ-ọgụ/,The hand that signals war or The hand of war,m,igbo
Ajaero,-,unknown,-,igbo
Ajaegbu,-,unknown,-,igbo
Ahanna,/Aha-nna/,The father's name,m,igbo
Ajana,/Ajana/,The goddess of the earth.,m,igbo
Ajonuma,/Ajọ-ọnụma/,A terrible wrath,m,igbo
Ahumareze,-,unknown,-,igbo
Ahamefula,/Aha-m-efula/,May my name never be lost,m,igbo
Aja,/Àjà/,Sacrifice,m,igbo
Agwuncha,-,unknown,-,igbo
Agwu,/Agwụ/,The god of confusion or madness; the executioner or punisher of the gods. Also the god of divination,m,igbo
Agupugo,/Agụpụgo/,One has been counted out,m,igbo
Agwuegbo,/Agwụ-egboo/,has supplied my needs,m,igbo
Aguolu,-,unknown,-,igbo
Esoro,-,unknown,-,igbo
Esomchukwu,/E-so-m-chukwu/,I am following God,m/f,igbo
Agumba,/Agụ-mba/,The nation's leopard,m,igbo
Enyioma,/Enyi-ọma/,Good friend,m,igbo
Enyinnaya,/Ényì-nnà-yà/,His father's friend,m,igbo
Eruchalu,-,unknown,-,igbo
Enweonwu,/Enwe-ọnwụ/,Does anyone have ownership of death?,m,igbo
Enwemaku,/Enwe-m-akụ/,I have acquired wealth.,m,igbo
Enyimba,/Enyi-mba/,The nation's elephant,m,igbo
Enunweoke,/Enu-nwe-oke/,The heavens create/apportions,m,igbo
Enuma,/Enu-ma/,Heaven/God knows [best],m,igbo
Enendu,/Ene-ndụ/,To look upon life (with hope),m,igbo
Enukora,/Enu-ka-ora/,What is above (heaven) is mightier than the people,m,igbo
Enedanya,-,unknown,-,igbo
Enemuo,/Ene-mmụọ/,To look upon the spirit being (expectantly),m,igbo
Enekwe,-,unknown,-,igbo
Enebechi,/Enebe-chi/,To keep focus on God.,m,igbo
Enebuwa,/Enebe-ụwa/,To watch the world (in resignation),m,igbo
Emordi,/Eme-ọdị/,,m,igbo
Emeribe,-,unknown,-,igbo
Emezue,/Emezue/,To have fulfilled or to meet the required number.,m,igbo
Emezi,-,unknown,-,igbo
Emenyonu,-,unknown,-,igbo
Emerenini,/Emere-nini/,What did I do?,m,igbo
Emenyi,-,unknown,-,igbo
Emenogha,-,unknown,-,igbo
Emenike,/Emena-na-ike/,unknown,Do not take engage the world forcefully,igbo
Izukanne,-,unknown,-,igbo
Izuchukwu,/Izu-chukwu/,God's plot,m,igbo
Izuegbunam,/Izu-egbuna-m/,May I not die by a conspiracy.,m,igbo
Izunna,/Izu-nna/,The father's plot,m,igbo
Izundu,/Izu-ndu/,A plot of Life.,m,igbo
Izuakor,/Izu-akọ/,May I always access the benefits of a meeting,May I always access the benefits of a meeting,igbo
Iwuno,/Iwu-unọ/,The rule guiding a home.,m,igbo
Izu,/Izu/,"Meeting, Gathering; a Plot, a Conspiracy",m,igbo
Iwujiora,/Iwu-ji-ọra/,The law that binds the people.,m,igbo
Iwuchukwu,/Iwu-chukwu/,The law or command of God.,m,igbo
Iwuanyanwu,/Iwu-anyanwu/,The law or command of,m,igbo
Iwegbune,/Iwe-egbune/,May anger not kill me.,m,igbo
Iwuagwu,/Iwu-chukwu/,The law or command of,m,igbo
Iwu,/Iwu/,Law or command,m,igbo
Iwene,/Iwe-ne/,unknown,m,igbo
Iweka,/Iwe-ka/,unknown,m,igbo
Itumo,-,unknown,-,igbo
Iwegbunam,/Iwe-egbuna-m/,May anger not consume me,m,igbo
Iweajulu,/Iwe-a-jụlụ/,An anger has been pacified,m,igbo
Isioma,/Isi-ọma/,Good head,m/f,igbo
Iweala,/Iwe-ala/,The anger of,m,igbo
Ivenso,/Ive-nsọ/,Something holy,m,igbo
Iweanaoge,-,unknown,-,igbo
Isiugo,/Isi-ugo/,A head of honour.,m/f,igbo
Iruka,/Ịrụ-ka/,The future holds better prospect.,f,igbo
Iruaku,/Iru-akụ/,The face of wealth.,f,igbo
Agumadu,/Agụ-mmadụ/,Desire for more people,m,igbo
Aguluefo,/Agụlụ-efo/,To recall periodically.,m,igbo
Aguiyi,/Agụ-iyi/,Crocodile,m,igbo
Aguigom,/A-gụ́nyé-gó-m/,unknown,Have I been counted/considered?,igbo
Aguinam,/Agụ-nye-na-m/,Have I been counted/considered?,m,igbo
Aguchukwu,/Ágụ̀-Chúkwú/,Chukwu,m,igbo
Agu,/Àgụ̀/,Leopard,m,igbo
Aghaelina,/Ághá-élìná/,May the war or battle not consume (us),m,igbo
Agbomma,/Àgbọ̀-mmá/,A beautiful girl child.,f,igbo
Aghadinuno,/Ághá-dị́-na-ụ́nọ̀/,There is war in the home,m,igbo
Agbarakwe,/Ágbàrà-kwé/,May,m,igbo
Agubata,/Àgụ̀-bàtá/,When the leopard enters,m,igbo
Agozie,/Àgọ́zie/,To have blessed,m/f,igbo
Aghanya,/Ághá-ányá/,A war of eyes,m,igbo
Agbalanze,/Ágbàlà-nzè/,An Oracle of the,m,igbo
Agbara,/Ágbàrà/,unknown,m,igbo
Agbala,/Ágbàlà/,1. *An entity associated with,m,igbo
Afuzuo,/Afụ́-zuo/,We have seen in fullness,m,igbo
Agbapuluonwu,/Á-gbápụ̀lụ̀-ọ́nwụ́/,Surname,m,igbo
Afunwa,/Áfụ́-Nwá/,Afu-nwa-echeta-nna,m,igbo
Afuluchi,/À-fụ̀lụ̀-chí/,Who has seen god?!,m/f,igbo
Emeluwa,/Emelụ-ụwa/,Did we wrong the world?,m,igbo
Afor,/Àfọ̀/,unknown,One of the four days of the Igbo week,igbo
Afoemezie,/Àfọ̀-èmézié/,has remedied (a situation),m,igbo
Afunugo,/Àfụ́nụ̀gó/,Has anyone ever seen such thing,m/f,igbo
Afudoh,-,unknown,-,igbo
Emelumadu,/Emelụ-mmadụ/,Did we wrong any one?,m,igbo
Afanna,/Áfà-nnà/,The father's name,m,igbo
Emeh,/Eme/,One who does not act,m,igbo
Emegini,/Eme-gịnị/,What did I do?,m,igbo
Eluchie,/Eluchie/,To regrow or overgrow,m,igbo
Emelibe,-,unknown,-,igbo
Emelogu,-,unknown,-,igbo
Emeagwali,-,unknown,-,igbo
Elozona,/Elozona/,Do not forget.,m,igbo
Emelulumonye,/Emelụlụ-m-onye/,Who have I wronged or Who did I wrong?,m,igbo
Elonna,/Élò-nnà/,Father's counsel or plan.,m,igbo
Elo,/Élò/,Counsel or to reason or a plan.,m,igbo
Eloka,/Elo-ka/,A good counsel is worth more.,m,igbo
Elekwachi,/Elekwa-chi/,Can we behold,m,igbo
Elochukwu,/Élò-chúkwú/,God's Counsel or Plan.,m,igbo
Eleje,-,unknown,-,igbo
Elebuwa,/Elebe-ụwa/,To watch the world (in resignation),m,igbo
Elendu,/Ele-ndụ/,To look upon life with hope,m,igbo
Ekwunife,-,unknown,-,igbo
Ekwenugo,-,unknown,-,igbo
Ekwutosi,/Ekwutọsị/,Stop defaming me.,m/f,igbo
Ekwughanachi,/Èkwughànà-chí/,Do not speak against,m/f,igbo
Ekwueme,/Ekwu-eme/,One who does exactly as he says or One whose words are his bound.,m,igbo
Ekweremadu,/E-kwere-Mmadu/,Did one agree with any human?,m,igbo
Ekweozor,-,unknown,-,igbo
Ekweonu,-,unknown,-,igbo
Chukwuogo,/Chukwu-ọgọ/,God of Favour,m,igbo
Chukwunweike,/Chukwu-nwe-ike/,God is all powerful,m,igbo
Chukwuneke,/Chukwu-na-eke/,God who is creating,m,igbo
Chukwurah,/Chukwu-ra/,May,m,igbo
Ekwensi,-,unknown,-,igbo
Chukwunwike,/Chukwu-nwe-ike/,unknown,m,igbo
Chukwunetam,/Chukwu-neta-m/,May God care for me,m,igbo
Chuma,/Chu-ma/,God Knows,m,igbo
Chukwujekwu,/Chukwu-jee-ekwu/,God will speak (on my behalf).,m,igbo
Chukwukadibia,/Chukwu-ka-dibia/,unknown,God is more powerful than the medicine man,igbo
Chukwuka,/Chukwu-ka/,God is preeminent,m,igbo
Chukwuma,/Chukwu-ma/,God Knows,m,igbo
Chukwuezugo,/Chukwu-ezugo/,God is sufficient,m,igbo
Ironsi,-,unknown,-,igbo
Chukwufumnanya,/Chukwu-fu-m-na-anya/,God loves me.,f,igbo
Chukwueze,/Chukwu-eze/,God who is king.,m,igbo
Iroaganachi,/Iro-agana-chi/,May enemies not overtake my,m,igbo
Iroabuchi,/Iro-abụ-chi/,The enemy is not (your) God.,m,igbo
Imedegwu,-,unknown,-,igbo
Irobi,/Iro-obi/,The enmity/enemy in the,m,igbo
Inyama,-,unknown,-,igbo
Imoh,/Imo/,A deity,m,igbo
Imoka,/Imo-ka/,is preeminent,m,igbo
Imammachi,/Ima-mma-chi/,The beauty of God,f,igbo
Iloghalu,/Ilo-gha-lu/,May enemies evade me,m,igbo
Ilorah,/Ilo-raa/,Let (my) enemies let me be,m,igbo
Iloka,/Ilo-ka/,Enmity/enemies are plentiful,m,igbo
Iloegbunam,/Ilo-egbuna-m/,May enemies (enmity) not kill me.,m,igbo
Ilozue,/Ilo-zue/,Let the enemies gather,m,igbo
Ilodinjo,/Ilo-dị-njọ/,Enmity is bad.,m,igbo
Ilouno,/Ilo-ụnọ/,The enemy within the home.,m,igbo
Ilomuanya,/Ilo-mu-anya/,The enemy is awake,m,igbo
Iloabuchi,/Ilo-abụghị-chi/,One's enemy is not his,m,igbo
Ikpeazu,/Ikpe-azu/,The last,Secret Judgment,igbo
Afamefuna,/Áfà-m-éfùnà/,May my name never be lost.,m,igbo
Ilobi,/Ilo-obi/,The enmity/enemy within the,m,igbo
Ikwukaeme,/Ikwu-ka-eme/,Our kins do the most,m/f,igbo
Ikwuenyenwa,/Íkwú-ényé-nwá/,Kin do not give children.,m/f,igbo
Ikpokolo,/Ikpe-Okolo/,unknown,Request or case for male child,igbo
Ikpeze,/Ikpe-eze/,The King's Judgement.,m,igbo
Afa,/Áfá/,Divination,m,igbo
Adunchezor,/Adụ-nchezọ/,Unforgettable.,m,igbo
Adokwe,-,unknown,-,igbo
Adogwa,/A-dị-ọgwa/,To be in varieties,f,igbo
Adirika,/Á-dị́rị́-ká/,[We] shall live a long fruitful life.,m,igbo
Adinuba,/Ádị̀-nà-ụ̀bá/,We shall be in abundance.,m,igbo
Adinnuh,-,unknown,-,igbo
Adunkachi,/Adụ-nkachi/,One who can't be dismissed or ignored,f,igbo
Adimora,/Á-dị̀-m-ọ̀rà/,I am pleasing to the people,m,igbo
Adichie,/Á-dị́-chìé/,We shall live and have descendants succeed us,m,igbo
Adigwe,/Á-dị-ìgwè/,We shall have a multitude (of descendants),m,igbo
Adaugo,/Àdà-ùgò/,A first daughter who brings honor/who is the mark of excellence,f,igbo
Adinlofu,/Ádịghị́-nlófù/,Unforgettable,m,igbo
Adiele,-,unknown,-,igbo
Adindu,/Á-dị́-ndụ̀/,We shall live.,m,igbo
Adike,/Á-dị-íké/,We shall be powerful.,m,igbo
Adaobi,/Àdà-òbí/,The first female child born of the,f,igbo
Adaeze,/Àdà-ézè/,The first daughter of a king,f,igbo
Ada,/Àdà/,The first female child of the family,f,igbo
Achugbu,-,unknown,-,igbo
Achufusi,/Achụ́fùsì/,Do not drive away.,m,igbo
Adaku,/Àdà-àkụ̀/,Female child who will bring wealth,f,igbo
Achuzia,-,unknown,-,igbo
Adamma,/Àdà-mmà/,A beautiful daughter,f,igbo
Ekweke,-,unknown,-,igbo
Ekwebelem,-,unknown,-,igbo
Achinanya,-,unknown,-,igbo
Ekwealor,-,unknown,-,igbo
Ekpere,/Ekpere/,Prayers,m/f,igbo
Ekpelu,-,unknown,-,igbo
Ekpereka,/Ekpere-ka/,Prayers is far superior,m/f,igbo
